audit_id,image_path,question,human_answer,parseable_yes_no,reviewer_id,notes
generated-001,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-binding-004-79ed09a7ed0a01be040c-20260828-0.png,What color is the circle? Answer with one color word.,red,yes,xiyao_wang,
generated-002,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-001-2a01476a82c6d86e810d-20260828-0.png,Is there a red triangle in the image? Answer yes or no.,no,yes,xiyao_wang,
generated-003,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-spatial-002-35b55fb4780c08654400-20260828-0.png,Is the square to the left of the circle? Answer yes or no.,yes,yes,xiyao_wang,
generated-004,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-spatial-004-3e854d8608ec450c98bb-20260828-0.png,Is the circle above the square? Answer yes or no.,yes,yes,xiyao_wang,
generated-005,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-001-061abc60a7af7c1bd43d-20260828-0.png,How many triangles are in the image? Answer with one number.,0,yes,xiyao_wang,
generated-006,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-existence-009-d8cd8b67bef535308031-20260828-0.png,Is there a blue circle in the image? Answer yes or no.,no,yes,xiyao_wang,
generated-007,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-count-007-ea26adc5a6bd568ed9d3-20260828-0.png,How many circles are in the image? Answer with one number.,8,yes,xiyao_wang,
generated-008,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-003-61c3550059657d0400fc-20260828-0.png,What color is the triangle? Answer with one color word.,yellow,yes,xiyao_wang,
generated-009,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-binding-002-cbedea3fd84242a7f17e-20260828-0.png,What color is the square? Answer with one color word.,yellow,yes,xiyao_wang,
generated-010,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-007-0cd68ce12b097a3188d8-20260828-0.png,What color is the circle? Answer with one color word.,blue,yes,xiyao_wang,
generated-011,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-spatial-000-bb265a7321cc67b8acc0-20260828-0.png,Is the triangle to the left of the circle? Answer yes or no.,yes,yes,xiyao_wang,
generated-012,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-size-003-9d5d0ff51147a0a39094-20260828-0.png,Is the triangle small or large? Answer with one word.,large,yes,xiyao_wang,
generated-013,H:\selfsight-runs\readiness\showo2-1p5b-hq\a3-generated-r1-images\gate-minus-2c-v2p2-generated-color-009-f4429acd6a3056586214-20260828-0.png,What color is the triangle? Answer with one color word.,blue,yes,xiyao_wang,
